2 0.636620
3 0.848826
4 0.636620
5 0.763944
6 0.848826
7 0.727565
8 0.795775
9 0.848826
10 0.891268
11 0.810243
12 0.848826
13 0.881474
14 0.818511
15 0.848826
16 0.875352
17 0.898757
18 0.848826
19 0.871164
20 0.891268
21 0.848826
22 0.868118
23 0.885732
24 0.848826
25 0.865803
26 0.881474
27 0.895983
28 0.863984
29 0.878096
30 0.891268
31 0.862517
32 0.875352
33 0.887409
34 0.898757
35 0.873079
36 0.884194
37 0.894709
38 0.871164
39 0.881474
40 0.891268
41 0.869529
42 0.879142
43 0.888307
44 0.897055
45 0.877121
46 0.885732
47 0.893977
48 0.875352
49 0.883472
